content,score
"kalo naikin tarif ngotak lah,masa hari biasa make go ride 15.000 giliran lebaran kayak gini jadi 31.500,,,itu jaraknya sama masa iya sejauh itu naiknya",2
cepat respon,5
Mntap,5
"suka error posisi ojolnya, saya sudah tunggu di luar karena awalnya di map posisinya deket ternyata masih jauh dan nunggunya lama",3
bagus...,5
driver sangat ramaj,5
"tidak bisa berkata apa"" , pokok'e MANTAP",5
sangat membantu dalam transportasi,5
tolong kasih metode pembayaran QRIS.... jaman udah gen Z metode pembayaran gitu gitu aja... kali kagak ikutin jaman.... inget tambah metode pembayaran QRIS,2
nice,5
Bagus dan sangat membantu.,5
"aplikasi GO-JEK banyak mafia nya 🤣🤣 customer dikasih program promo promo menarik, dengan catatan customer harus nerima resiko nya, harus nunggu makanan lebih dari 1 jam bisa sampai 2 jam nunggu driver yg mau ambil dengan ongkir atau pendapatan mereka 5 ribu bersih, tapi driver banyak yg tidak setuju dengan kenyataan aplikasi mafia 🤣, tetep lah manusia kan manusia dengan upah yang layak untuk driver agar customer puas dan driver juga mau ambil orderan customer.",1
pengalaman sangat buruk,1
gooodddddd,5
mmantaa,5
datang cepat....sampai dengan selamat,5
Ok,5
TIDAK BISA BATALIN PESANAN KLO TIDAK SENGAJA DIBUAT!!,1
mudah.sangat membantu,5
jelek banget sistem CS nya. resto keterangan masih buka tapi udah pesen driver ngilang. dah 1 jam setengah nunggu. minta batalin CS gabisa. ga ada solusi banget,1
ok,5
biasa nya tidak sesuai dengan maps sama sekali,1
saya mohon bantuannya agar saya bisa ungre akun go vay saya yang ini saya tidak bisa ungre karena ID sudah terdaftar,1
"gak pernah pesan gocar hemat aja bolak balek ditolak driver, saya klo pesan mesti yg gocar biasa atau comfort, itu aja lamaaaaa bgtttt dpt drivernya, kdg sdh diterima driver eeehhhh dibatalin dr sononya,",2
"kode otp yang dikirimkan oleh gojek adalah akun yg sudah tidak aktif, mohon diperbaiki",1
bagus,4
tolong pengiriman makanan nya maps nya di per mudah percepat buat drivernya agar pengiriman makanan cepat,1
ok banget,5
good,5
"pesan Gofood, hanya order kopi tapi sampai 1 jam yg jaraknya tidak lebih dari 3km. ajukan komen malah berimbas ke driver jadi di suspend. harusnya dari admin aplikasi ada komunikasi dulu ke konsumen dan driver. jadi kena marah2 dari driver. HARUS DIPERBAIKI SYSTEM INI. TIDAK AKAN PAKAI APLIKASI GO FOOD LAGI.",1
sangat membantu sekali semua aktivitas menjadi lebih mudah,5
naik terus ongkosnya kalo cancel karena driver ga mau terima,1
balikan akun seperti semula,5
alamat kadang suka rubah2 titiknya kurang akurat,4
pesanan terlalu lambattttttt,1
"Aplikasi paling pelit, gk pernah ada promo wkwk",1
Siip,5
antar jemput,5
"fitur Jalan Map Dalam GoFOOD ini tolong di benerin, kasih arah jalan yang jalan utamanya aja, jangan di arahin ke jalan tikus terus, beberapa driver itu kadang bingung dan nyasar.",4
bagus 👍,5
bagus,5
mudah mencari driver,5
pesen mie gacoan + dauble orderan dari jam 9 malam sampai jam 11 malam bru sampe,1
"mengecewakan, skrng apa2 lama pickupnya. besok lg klo ada update, ilangin aja pilihan estimasi cepat standar sama lambat nya. semuanya aja ko pilih cepet juga ttp lanbat",1
good,5
best,5
apk nya error,4
"Gopay coins hampir nggak guna, lebih baik saldo gopay coins digabung aja dengan saldo utama.",5
salam jari tengah,1
apaan sih pesanan gw dibatalin secara sepihak🙄,1
pesan makanan kalo pakai express selalu driver nya lemot . ga sesuai dengan waktu estimasi tiba . kecewalah udh bayar lebih mahal malah telat . perbaiki tuh,1
"nyusahin orang aja karna sistem double order, pesen yg reguler ttp aja kena double",1
good best,5
utk pelayanan nya cukup bagus,5
aplikasinya membantu,5
"kalo bikin kontrak gopay pinjaman jangan melalui notifikasi di hp kegeser/kepencet close notifnya langsung gagal harus nunggu lama 15 menit kontrak baru nyatanya 15menit lebihh gabisa jancokkkkk ,saya pengusaha butuh cepet bukan bertele2..klo bisa masuk inbox jangan cuma nagih doang masuk inbox gopay",2
nice,5
tepat waktu,5
tolong kalo bisa driver gofood yang males malesan sampe engga jawab terus tiba-tiba ngecancel dicabut aja engga niat kerja yang seperti itu,1
Hai semua pilih bintang 5 yaw,5
good apps,5
udah bayar lebih pake prioritas tetep aja dapet driver yg jauh dan lama,1
Lancar...,5
HARGA DI GOJEK TERLALU MAHAL . HAMPIR 5 RIBU SAMPAI 6 RIBU LEBIH NAIKNYA DARI PER ITEM .. TERLALU MENGUNTUNGKAN GOJEKNYA . TAPI THR UTK DRIVER KECIL,1
appa gojek sekarang lebih susah untuk pengajuan pinjaman gk kaya dulu gampang,1
"aplikasi kaga jelas, kebanyakan di cancle pegel kaki gwaaa nunggu!",1
"susah dpt driver, pdhl cuaca cerah",1
ramah ramah,5
this is aplikasi good,5
"makin lama makin gk bener ni apk, makin mahal, cs nya juga gk membantu, drivernya yg sekarang juga attitudenya👎🏻 duhh nggak dah pokoknya",1
pesan tak sampai2...delay 8 menit notification nya. 35 mnt pun gak gerak drivernya..,1
"hai user/konsumen/pelanggan jk klian gk trima ats pmbayaran tmbahn sperti Toll atau Parkir, silahkn ajukn di aplikasi tpi jnganlh kalian memberatkan driver nya dng mnambahkn/mmbri ratting 1,2 dan 3, driver tuh kalo kena sangsi dia gak bisa cari nafkah karna akun di suspend bayangin gimana kalo posisi tsb di alami user, KARMA Berlaku Loh, amit²..3X. Mnding jng ksih ratting ja skalian, scara permasalan user psti terselesaikan sndirinya dengan bantuan cs dan pasti akn mnguntungkn user jg kox",5
kalo udah di prioritas itu harusnya langsung bukan malah nunggu sampe sejam gimana sih,1
ok,5
Gacorrrrr,5
senang tingkat kan promonya,4
huh bisa ya sama aplilastor sama cs atu pelanggan tapi dengan biayanya beda jauh sama aplikator drivernya. kasihan sama mitra penghasilannya dibuat sama ceo pegawai pt gojek...,1
Bagus,5
kenapa ya setiap kali pesen gofood udah dapat driver udah nunggu lama sekitar 30 mntan tiba tiba ganti driver trs driver yg baru posisinya agak jauh? tanpa ada keterangan apa2 dr driver atau apknya ?,3
kenapa sekarang susah banget dapat driver gofood 2 hari berturut turut tidak dapat sama sekali,1
aplikasi enak dlm pelayanan,5
"Gila ya Gomart, biaya penanganannya kaya lagi ngerampok",1
good,5
sekarang makin susah order gojek.,1
ya ampun gojek bikin kesel masak ni ya aku kan mau pesen makanan terus aku ke penelusuran aku ketik ayam goreng terus malah gak semua makanan gak ada dan dia bilang yang kamu cari belum ketemu,5
nice banget,5
pelayanannya ramah,5
sangat membantu,5
apk payah order makanan tercantum tulisan menunggu makanan jadi actual cari driver sudah sejam lebih nunggu tidak juga dapat driver padahal order memakai express bukan HEMAT dan chat cs pun percuma hanya dilayani dengan BOT.,1
bagus,5
"lama amat d fitur gofood nunggu di masak chef 30menit.. pesen dari jam 16:46 baru keterima jam 18:54 ga ngotak,. sekalian aja kasih waktu chef nya 24jam,. biar kurang lama nunggu nya biar ga nanggung",1
"tolong kalau drivernya gak mau ambil jangan di diemin aja, orang kan punya waktu nunggu lama, cuma nunggu driver yang diem dan gak mau cancel, posisinya kan kita gak tau, dia kan terima posisinya, ujung2nya driver minta kita yang cancel, alasannya kejauhan lah, minta tolong di cancel lah",1
merugikan,1
"Susah dapet driver, setiap dapet suka di cancel dan lama datangnya juga",1
bro really? gopay later ditinjau padahal gk pernah telat bayar 😊,3
"baru ngasih THR ke ojol 50rb aja jd nya harganya ga normal, mahal pisan wkwk",1
mantap polll,5
driver terlalu jauh,1
"sering dicancel klo bayar pake cash, giliran bayar pake gopay gk di cancel, jdi males make gojek",1
banyakin discount ya🥺💗💗,5
lu bisa bkin apk ga? pesen gojek di titik jemput apa lu kasi gojek daerah mana tau lol amat,1
mantap,5
gojek banyak,5
"dapet driver lama, cs pun bales lama",1
"orderan udh jelas tapi gak dapet"" driver sampe sejam . dilaporin malah di tutup terus gak menyelesaikan masalah.",1
tolong ni buat gojek klo emng driver nya pada libur gausah di nyalain aplikasi nya makanan saya jadi telat mohon diperhatikan lagi untuk drivernya 2 kli makanan saya di cancel oleh driver,1
"batal buka puasa tepat waktu transaksi gofood sangat lama prosesnya pesen jam 17.00 sore baru ke proses jam 17.58, gak bisa cancel, telfon cs gak bisa, chat cs bales cuman robot, telfon ke resto di hold pihak gojek,",1
"100000/1000000000 aplikasi drive paling oke, amanah banget drivernya, seru juga drivernya enak buat diajak ngobrol jadi gak bosen. banyak banget promo disini, love gojek bgt",5
maaf dekat saya ada yang stanby drivernya di mapnya saya tengok tapi malah di kasih driver lumayan agak jauh.. bikin telat saja,1
"PENGALAMAN BURUK. setiap ada diskon yang lumayan, selalu ada aja alesannya aplikasi ini wkwkwk, giliran pake harga normal langsung bisa. mantap. terus juga ongkir makin mahal, mau pesen yang express atau engga selalu lelet. gatau si ya kenapa bisa punya rating 4,6 di google play wkwk. pelanggan gabisa cancle cuma kelempar lempar jadi ribet sama frustasi sendiri. aplikasi yang mengecewakan. terus paling habis ini di rep bilangnya minta maaf🤭😅",1
nyari driver kaya nyari apaan tau lama bgt,1
mantap,5
MINUS NYA GAK ADA PEMECAHAN MASALAH KALO KITA MAU BATALKAN TRANSAKSI. PADAHAL KADANG DRIVER NYA LAMA. KALO APK SEBELAH KALO UDAH DIBATAS WAKTU ±10MENIT GK DAPAT DRIVER OTOMATIS BATAL. INIMAH UDAH NUNGGU LAMA2 UJUNGNYA KEBATALKAN JUGA KARENA GAK DAPET DRIVER. SEDANGKAN DARI AWAL UDH AJUKAN PEMBATALAN TAPI GAK BISA.,3
"Saya turunin lagi jadi 2, gojek enak banget kalo urusan makan, tapi kalo transport sih tidak worth, hari ini saya dicancel 6 kali sama mitranya daerah Surabaya, nunggu setengah jam tidak dapat pengganti, giliran pakai Grab langsung dapat",2
mantap,5
aplikasi ini sangat bagus bangett,5
Gobike 👎 harusnya driver yg tidak mau ambil order juga di beri sanksi. Masa iya posisi di map banyak driver gobike tapi mencari driver sampai 30 menit ga dapet dapet.,2
Aplikasi yang sangat bermanfaat sekali,5
aku sangat puas sama pelayanan tuh okey,5
Gojek sangat membantu perjalanan saya... Go foodnya banyak promo..mantab..makasih😍,5
"cepet dapet orderny, cepet pengirimannya, slalu ramah & sopan pula abang gojeknya",5
sejauh ini keren terima kasih!,5
mantep,5
terkoordinasi cepat dan tepat,5
kurir tidak perprofesional saat ambil barang di shopee mohon di tindak lanjuti kurir yang seperti itu jika tidak niat jangan di ambil serahkan ke yang lain,1
oke bgt,5
tolongg dong sekarang kalo buat ngirim barang susah banget yg nerima,1
bagus pelayanan cepat,5
"Gojek tlg dong, kalo udh lewat dari waktu yg di janjiin pas mesen makanan, adain opsi ""batalkan pesanan"" waktu saya jadi kebuang ggr nyari driver aja.",4
"apk bagus, semua udah lengkap utk saat ini",5
"menarik,sangat membantu",4
"kenapa sih ngasih driver jauh mulu , nunggunya jadi lama",3
"UDAH DAPET DRIVER, DITUNGGU LAMA GA ADA KONFIRMASI TIBA2 CARI DRIVER LAIN, SAMPAI BEBERAPA KALI. DRIVER TIDAK BERGERAK SAMPAI LAMA NUNGGU AKHIRNYA CANCEL.",1
terkadang ada mobil gocar yang tidak layak pakai. padahal hampir tiap hari saya pakai jasa cocar.,4
pelayanan terbaik,5
good,5
Tidak bisa akses ke Randudongkal,1
good,5
sangat bermanfaat Kendaaraan online,5
aman & amanah,5
aplikasi ga jelas,1
"love bgt, gw jadi tepat waktu ke sekolah, sehat sehat gojek 💋",5
Bagus,4
membantu ber aktivitas sehari hari,5
gojek apelikasii kagak guna,1
"THR Ojol cuma 50 ribu? ngapain tidak 1 juta sampai 250 juta, huh sudah banyak uang perusahaan kok ngasih sedikit. ya kerja di Gojek gue bosan",1
good,5
good,5
"sering ke cancel sendiri saat akan order gocar, mending pindah ke sebelah",1
cukup bagus,5
good,5
aplikasi ga konsisten harga rubah rubah !!!,1
"... bagus, banyak membantu. Namun terkadang error terutama pada chat go ride-nya.",5
ok,5
noice,5
"Goride, gocar, gofood..the best aplikasi, sangat mudah dan membantu, cuma klo pas hujan driver sering nolak pesanan, mungkin bisa dibuat sistem agak ga bisa nolak, atau jika nolak maka ratingnya turun, sangat merugikan konsumen",5
"jelek banget, saldo gua tiba tiba berkurang waktu top up",1
ramah dan hati2,5
suka banget dan banyak promo nya,5
sangat membantu dan banyak diskon,5
nice,5
pelanggan jadi puazz,5
Sangat membantu sekali,5
Iklannya muncul dimana ganggu orang,5
buruk lebaran gini kok instan malah susah untuk instan sampe yg menunggu gagal mudik,1
Rata2 Memuaskan,5
selalu setia gojek,5
sangat membatu dgn gojek saya jadi tepat waktu,5
CPT bngt sampainya 🤗🤗☺️👍,5
masih oke,5
luar biasa membantu murah meriah cepat dan menghemat waktu,5
Untuk penggunaan gomart tidak membantu sama sekali selalu ditolak,1
bagus sangat membantu,5
saya mau jujur dan tidak berbohong di sini ini kekecewaan terbesar saya ( saya pernah komen begini di Maxim KRNA mereka menerima orderan lebih dari 1 seperti mereka Nerima minuman terus terima makanan berat dan itu jangkauan pengantaran jauh) ini terutama di area saya yaitu Gorontalo 1. Nerima orderan lebih dari 1 bahkan pernah sampai 3 ( goofood ) 2. tidak ramah pernah orang tua saya di kata katain oleh gojek krna kelalaian mereka sendiri bukan kelalaian orang tua saya SAYA TIDAK BERBOHONG!,1
aplikasi yg sangat mudah digunakan dan sangat berguna bgt disaat darurat hehe pertahankan terus gojek,5
"katanya akun saya bermasalah sudah 1 bulan dan tidak di perbaiki, saya tidak bisa pesan go ride, gocar, dan go food saya juga sudah ke costumer service tapi sama saja",2
kepada menejemen gojek mohon untuk di di berikan himbauan kepada deraiver agar beroperasi pada saat hari raya idul Fitri khusus nya di kota Palembang kami sangat kesulitan mencari tranportasi pada saat bepergian pada saat hari raya idul Fitri tidak ada deraiver sama sekali,1
nyoba dl,4
UInya bikin bingung jadi udh pesen 1 gocar di UI nya malah 2 go car udh gitu agak sulit buat cancelnya,3
pelayanan cepat...,5
nice,5
Ok,5
Atasi masalah tanpa ribet😁,1
solusi andalan dikala lapar,5
ikan gabus ikan lele gojek aja lek,5
so good,5
mantap,5
Gojeg kereen,5
Siyal,5
Aplikasi nya bagus memudahkan kita untuk kemana mana,5
sangat bagus,5
Mau batal kok eror sih?,5
naisss,5
"gosen sekarang kenpa pada di cansel sama drivernya min tolong di perbaiki min... sekali nya dpt driver jarang mau pickup jauh ,,sampe 5 jam baru nyangkut , untuk daerah centrak park apartment dan sekitar nya",3
"selama ini sangat membantu.. tapi pertanggal 25 maret 2025 tiba tiba tidak bisa pake promo saat pembelian gofood, tgl 27 laporan katanya akun aku ada penyalahgunaan promosi jadi diblokir kapan.. gimana.. ga dijelasin.. tiba tiba bilang pengajuan banding di tolak. Ko merasa jadi tersangka aku😅 kocak banget.. ya udahlah masih ada aplikasi lain. Thanks udah ngasih promo promo sebelumnya .. karna ketidak jelasan pemblokiran jadi aku balik memblokir alias menguninstal",2
mudah dan nyaman,5
lama banget nunggu drivernya,1
lumayan,4
goodjob,5
kekurangan sprti titik jemput. (tdk sesuai) blm tepat abg gojek nyah juga gk begitu ngerti. atau kurang paham Cara pembayaran. selebirh nyahf ok abg gojek nyah gk mau bertana ngandelin aplikasi aj jdi lama.,5
gojek tetap slalu di hati dan tetap semangat......,5
"drivernya songong, berkata kasar dan ancam mau samerin ke tempat tinggal. tanggapan admin lama, padahal customernya dalam keadaan ga nyaman. udah di uninstal padahal udah lama berlangganan, kapok bgt",1
sangatt membantu bangettt,5
goks,5
ok,4
G bisa ngandelin gojek kaya gini KLO kondisi darurat kadang g ada yg mau ambil orderan.,2
memberi kemudahan,5
cepat aman dan pelayanan bagus,5
tampilan maps tidak muncul,1
sippp,5
oke mantap,5
"sumpah aplikasi aneh bat sialannn, gw mau bayar pake qris katanya aktivitas mencurigakan trs bakal di cek dlu, gw udh nunggu 1 jam masih ga kelar kelar. kasian tu org dh nunggu nunggu, aneh bgt sistem keamanan lo beneren sana gih. ngerepotin bgt ampun dah. lagi puasa ada aja cobaan nya ya robb || edit: dari jam 6:10 gw mau pembayaran baru bisa jam 9:00. gila... bete bgt gw dong, bayangin cuma mau bayar Rp55.350 diribetin bgt sampe harus nunggu kurang lebih 3 jam, lo tau nyita waktu org ga si...",2
saya sangat terbantu dengan gojek,5
ok,5
"Pengalaman buruk beberapa kali dengan driver go jek instan di gondangdia yang suka pilih2 penumpang, maunya disekitar2 stasiun aja ga mau ke cempaka putih. Kl mau milih trayek jangan ambil gojek instan. Drivernya banyak yang benar benar memuakkan!!!!!!",1
good,5
aktivitas tidak wajar mulu,1
oke,5
memuaskan,5
"Saya ada gosend hari ini plat DK3462DI atas nama i kadek sugiantara menolak ambil paket saya dan membawa plat motor yg berbeda , alasan menolat motor nggak muat dan berat padahal barang saya 1 dus tepung yg isinya tepung roti, susu dan tepung sasa kemasan 1/4 dan tidak ramah sama sekali",1
keren,5
sangat membantu,5
mantap,5
bintang 5 ya... 👍👍,5
"betulin dong pelacakannya, saya dapatnya radius 2km muu, dibatalin Mulu sama rider-nya, makasih",1
bagus,5
tolong map nya di perbaiki.kasiian driver yg ga sesuai dengan jarak pe KM nyq.sehimgga harus ubah rute. TOLONG DI UPDATE UNTUK MAP NYA.,3
"Driver nya banyak yang gk tau cara atau aturan berkendara di jalan,sebaiknya diberi pengarahan lagi,supaya tidak membahayakan pengendara lain.. lebih teliti lagi nyari mitra driver nya, udah tau ada lampu merah berhenti,klakson-klakson terus...",2
sangat membantu dan harus ditingkatkan lgi pelayanannya,5
amanah,5
superrrr gojek superrrr,5
Hapus aja layanan gocar nya.. 30 menit gak dapat driver,1
👍,4
"Driver semakin sering tidak bergerak ke posisi penjemputan, dihubungi tidak merespon karena mengejar waktu akhirnya saya batalin yg berimbas ke performa saya sebagai pengguna karena sering melakukan pembatalan yang bukan karena keinginan saya., padahal saya booking pakai prioritas. mulai pindah kelain hati deh kalau seperti ini terus :(.",3
"benerin noh sistem aplikasi lo, drivernya pada kacau, ga niat kerja, susah dapet gocar atau gojek (entah mau make hemat, prioritas atau comfort) gue awalnya make hemat, tapi karena gada yang mau ambil akhirnya milih prioritas, kek gitu juga pada kacau gamau pada ngambil orderannya, padahal di titik maps banyak itu pada mangkal. drivernya pada kaga niat kerja, sukanya marah-marah, perhitungan, najis banget sama apk ini lama-lama",1
bagus,5
Bagus,5
top,5
"SERING BANGET DRIVER GOCAR MINTA DI CANCEL YANG RUGI KITA NUNGGU LAMA, DAN DIA YANG GA MAU PICKUP, NGEBET PENGEN THR TPI KINERJA NYA BEGINI, KALAU CUSTOMER CANCEL KITA DAPETNYA LAGI MAKIN LAMA. KEBIASAAN HARUSNYA YANG MINTA Cncel ke customer itu kena banned. TOLONG KASIH OPTIONAL BIAR TIDAK MERUGIKAN CUSTOMER",1
"susah dapat driver sekalinya dapet yang jauh padahal waktu mencari driver, yang deket ada cuma dapet nya yang jauh kocak emang ini aplikasi",1
baik,5
sangat membantu slama bln Ramadhan...apalagi kami LG di luar kota..trima kasih driver dn resto yg t o p...,5
mantaaaap,5
lebih mudah cepat dan tepat pakai gojek👍,5
beli makanan jadi lebih mudah,5
bagus,5
mantap,5
💪👍,5
"saya ga bisa menghubungi cs, dan komplen pun ribet, bahkan laporan saya di tolak, respon lama, galeri g bisa di buka dri app, makanan saya kurang satu saya komplen malah g di terima, chat cs malah g ada solusi, kek bukan manusia yg bales. belanja 120rb sia2 aja, buang2 duit. auto uninstal dah. padahal saya dah sering gunain app ini tapi sekali nya ada masalah malah g dapat solusi. nyebelin.",2
mantul mudah dan cepat,5
nice,5
ini keren ❤️❤️❤️❤️❤️,5
ok trimakasih,5
"driver gojek sampai susah perbaiki mobil, kebanyak mobil kurang terawat hanya dibuat kerja hingga berbau",1
ok,5
"bagusss bangettt belom pernah ada kendala siihh, pernahh sekalii waktu itu gagall pesen makanan tapii fine² ajaa.. pokoknya Thebest dehh",5
good,5
perjalanan yg menyenangkan,5
sangat membantu,5
"Drivernya pada gak jelas, ditungguin 20mnt posisi gak gerak, dihubungi ga direspon. sekalinya direspon banyak alesannya entah itu mau nambel ban lah isi bensin lahh tapi tiba tiba orderan dicancel",1
bagus,5
Drivernya sering sekali ngecamcel order,1
payah . titik dmna . posisi jemput nya jauh,1
apk payah bin bahlul tidak berpihak pada driver...real laporan fiktif ada aja alesan untuk ga sesuai sop,1
"gojek tu kalo lagi hujan kek nyebelin, driver mobil kaga ada yang butuh duit di lempar lempar mulu, masa iya pesen dari jam 8 malem ketemunya jam setengah 10 baru ada yang nrima? kan kek gimana gt pdhl kita juga butuh waktu cepet karna juga transpot pulang pergi kerja pake gojek",1
"pake voucher cashback TPI gamasuk, apk ga jelas",1
pesan makanan nya lama banget nyampe nya. trus kita udah nunggu lama ehhh malah driver ngga ada yg ambilin padahal udah nunggu lama. tolong di perbaiki lagi yaa,4
hebat,5
Bagus Dah Pokoknya🗿,5
good,5
mantap guyyss,5
Ngehe BHR cuma 5 ribu cok.... cok.,1
kasian untuk driver nya ... semoga sabar untuk para driver ...,1
cepettt,5
mantab,5
ok sip trinakasih,5
sekarang kok gini Min tadi saya pake gocar udah fix harga awal eh kok tiba-tiba pas sampai tujuan dan turun harga tiba- tiba naek gak kaya harga awal mana ada jasa biaya parkir lagi perasaan 2 Minggu yg lalu saya GX gini pas pesen gocar kejadian na kenapa sekarang gini kecewa saya GX ramah,1
menyenangkan,5
"uda 4 hari ga pernah dapat, jd pakai yg resmi aja lebih nyaman",1
manteb,5
bagus,5
mantap,5
"aplikasi taksi daring paling menyebalkan... lebih membebaskan dan mengutamakan driver daripada customer. sdh beberapa kali pesan gojek ataupun gocar tapi selalu di tolak tanpa alasan jelas, yg pdhl ada bbrp driver sdh dkat ke titik jemput tp tiba"" membatalkan bgtu aja. sebaliknya apbla saya yg batalkan krna tidak jadi, tapi driver mendatangi saya dan ga terima gara"" pesanannya dibatalkan. padahal itu saya langsung membatalkan setelah klik 'order'. regulasi dan pelayanan yg buruk...",1
"minta update terus anjirr, pas urgent mau make harus update dulu",2
bagus tth beesst alplikasi,4
👍👌,5
seru,4
membantu sekali dalam melakukan perjalanan,5
game nya bagus udah overworld dan dapat uang,5
banyakin diskonnya biar gk pindah kelain app,5
mantap,5
lumayan presisi di map,5
sangat membantu,5
"baru di gojek doang mesen gofood, ordernya di tumpuk WKWKWK",1
"cukup kecewa,udh beberapa kali dpet pengalam ga enak di apk gojek ini ,baru bngt sya mesen makanan dn di krim pke gosen hampir 500 makanan di krim di sembarang orng ....dan abangnya gda tanggung jwabnya ...lbh di seleksi aja untuk drivernya :(",1
wort it,5
terimakasih banyak,5
anak mau jajan gofood aja lebih simpel,5
"tambah mahal aja..tarif pagi berangkat kerja beda sama sore pulang kerja.tarif sore bisa dua kali lipat lebih mahal dari tarif pagi dengan jalur yang sama..dapat driver jauh² mulu.udah gitu di cancel sama driver malah tarifnya di naikin.padahal salah customers tu apa,driver yang cancel kok tarif customers di naikin..makin parah",1
ok sipp,5
"mesen makanan ga pernah dapet driver, jelek banget nasihbbb nasibbbbb",4
makin mahal sekarang pakai gosend,3
"ga tau kenapa kepental Mulu kalo mau transfer,pasti balik ke tempat masukin pin padahal saldo cukup",1
gojek mantap banyak membantu,5
"bagus suka pake, tp tolong tingkatkan promonya, gak usah banyak2 yg penting sering ada aja, soale suka pakai gosend",4
mantap,5
josss,5
baik,5
mantaap,5
cepat dan aman,5
apaan sistim nya kok jadi gini sihh pesen gofood sering banget gaada yang terima padahal pesen dalam keadaan lapar dan gabisa beli sendiri atau pas gaada bahan buat makan..kalopun ada yang terima tapi gamau ambil makanannya yang akhirnya ganti driver begitu terus sampe saya cancel sendiri tolong di cek lagi driver nyaa kalo gak niat kerja mending di off kan aplikasinya daripada aplikasinya on tapi gamau terima orderan sama aja bohong,1
sangat membantu,5
👍👍👍👍,5
mantapp bagus dan murah,5
aman,5
baik,5
ok sangat membantu transportasi indonesia,5
dari dulu pake gojek menyenangkan,5
untuk yang terbaik,5
Kalo menjelang lebaran susah cari driver,1
mantap,5
mantap,5
"gojek car di surabaya susah banget, klo kita dapat promo dan harga lebih murah ga ada yg mau Terima",1
kita bayar segala tagihan dengan baik. tiba tiba sepihak gojek memblokir semua fasilitas. tanpa pemberitahuan. ini bukan pertama kalinya dialami. kita ga ada masalah di keuangan. harus bolak balik ngabarin admin anda yang buat nasabah kecewa.,1
"sopan dan sabar , aman",5
banyak promo,5
Bagus!,5
"Murah², kadangg diskon nya jugaa banyakk",5
"gojek tolong dong di update titik lokasi RSCM mata jakarta, sekarang udah pintu masuknya lewat kencana, ini udah 10x pesen di batalin semua karna titiknya gk akurat, masalah nya titik nya masih di pintu masuk yg lama",3
"PAYAH SUDAH BUAT LANGGANAN,SETIAP HARI PUN TIDAK DPT MENGGUNAKAN PINJAM/PAYLATTER! GUE HAPUS LG MLS! DAH HABISIN BANYAK DUIT!",1
mantaf banyak discount nya,5
seperti nya aku hapus aja sih ini aplikasi masak aku udah nunggu 1 bulan mau pinjam terus GK bisa di suruh nunggu 1 bulan lagi,1
apk bagus,5
kerennnn,5
"parahhh driver gocarnya mentang"" perjalanan pendek kargo cuman sekitar 45ribu gak ada yang mau anter di batalin semua oleh driver.......pihak gojek tolong dong awasi kasih sanksi kepada driver seperti itu gak dapet orderan ngeluh dapet orderan kecil gak mau ambil",2
Oke transaksi tidak lambat,5
cepat dan lebih enak sekarang,4
"Susah dapat mobil, ternyata rute dari gocarnya kata drivernya, pakai rute pendek yang merugikan drivernya!! Pantes aja drivernya gak mau ambil order. Kita yang penting ada yang mau antar!! Murah tapi rute gak jelas bikin susah dapat mobil!!! Saatnya kita pindah aplikasi lain. MEMBUANG WAKTU BERJAM2!",1
Banyakin potongan diskon lagi donk gaes 😁,5
Aplikasi yang sangat membantu.,5
"APK nya sngt bagus. gopay pinjam nya mantap dan terjangkau. kak saya mau tanya, tenor di akun saya cm smpai 6 bulan. bagaimana cara sy menaikkan tenornya agar bisa jadi 12 bulan kak. saya mau ambil limitnya dg jangka waktu 12 bulan. tpi pilihannya hanya smpai 6 bulan kakak. mohon bantuannya kak. 🙏🙏",5
bagus tapi Lom di coba order,5
minta upgrade tiap minggu tapi banyak resto yg ga ada kayak ondo n mi Tiong SIM di medan.... lebih komplit GRAB,1
ok cepat respon,5
tolol udah verivikasi lewat wa masih aja pakek verivikasi email,1
bosok rak iso di nggo asy,1
"Pengemudinya dengan mudah ambil orderan, lalu nggak lama dicancel, tanpa ada sanksi tegas dari GoJek. apalagi kalau bikin order di Denpasar Bali. Bisa di Cancel sampai 10 kali lebih. buang-buang waktu saja. Harus ada Sanksi untuk Pengemudi yang Cancel",1
pesanan sering banget telat dan dibatalkan karena tidak mendapatkan driver. padahal sudah menunggu berjam-jam,3
"sering driver jarang mau ambil order, di e Commerce pun susah untuk dapat driver",1
T O P abangnya,5
good,5
trimakasih gojek sudah memudahkan perjalanan kami semoga sukses slalu,5
"kurangnya hanya promonya,, yang lainya oke semua hehe",5
Terima kasih untuk pelayanannya buat driver tetap semangat ya,5
good,5
"kalau bisa taruh harga dikasih paling mahal sekalian klo ga nanti driver gocar misuh², yg naruh harga kan bukan penumpang 🙏",2
mantapp,5
bagusss,5
❤️‍🔥❤️‍🔥❤️‍🔥,5
"gausah kasih pengantaran hemat kalau gamau pada ambil drivernya, udah jarang promo, pesanan lama sekali, belum dapat driver aja ga bisa dibatalin. payah",1
mantap 👍🏻👍🏻👍🏻,5
Bagus pelayanannya... terima kasih,5
tempat sya cari rejeki dri jaman covid 😌☕️,5
banyak promo menarik,5
Aman,5
excellent,5
menurutku si ini bagus bangett,4
Memberikan kemudahan dalam Bertansportasi,5
sdh cukup baik semuanya,5
ok,5
mantab,5
oks banget,5
sangat puas,5
solusi tepat transportasi masa kini,5
